name	all	create	vanish	short-overturn	long-overturn	visible-discontinuous	invisible-discontinuous	delay	block
adept_demo_samples1	0.5767235134794658	0.521122029058537	0.5249013185521122	0.6573444192491812	0.5427059712773998	0.7534223565969599	0.7692953724699757	0.47946586041824135	0.48526077097505665
adept_demo_samples1_geometric	0.58642578125	0.4791666666666667	0.7083333333333333	0.6875	0.8125	0.7708333333333334	0.7499999999999999	0.25	0.5625
adept_demo_samples1_real-life	0.6181640625	0.6458333333333334	0.625	0.6875	0.6875	0.7708333333333334	0.8541666666666666	0.5625	0.1875
adept_demo_samples1_in-class	0.57689017303719	0.5239325068870524	0.5037878787878788	0.6399793388429752	0.5408057851239669	0.7601584022038568	0.7713498622589532	0.49741735537190085	0.5144628099173554
adept_demo_samples1_out-class	0.5670196280991736	0.5316804407713498	0.5068870523415978	0.7272727272727273	0.3884297520661157	0.6859504132231405	0.7520661157024794	0.4793388429752066	0.4545454545454546
adept_demo_samples1_on-human	0.6080322265625	0.5104166666666666	0.6770833333333334	0.625	0.546875	0.7708333333333334	0.7760416666666667	0.515625	0.296875
adept_demo_samples1_on-human_geometric	0.59765625	0.41666666666666663	0.6666666666666666	0.75	1.0	0.75	0.5833333333333334	0.25	0.5
adept_demo_samples1_on-human_real-life	0.634765625	0.75	0.75	0.75	0.75	0.6666666666666666	0.8333333333333333	0.5	0.0
adept_demo_samples1_on-human_in-class	0.623046875	0.5	0.75	0.5	0.5	0.8333333333333334	0.8333333333333334	0.75	0.25
adept_demo_samples1_on-human_out-class	0.595703125	0.5833333333333333	0.75	0.5	0.0	0.6666666666666666	0.9166666666666667	0.75	0.0
