name	all	create	vanish	short-overturn	long-overturn	visible-discontinuous	invisible-discontinuous	delay	block
adept_demo_samples5	0.6580687830687822	0.5661375661375662	0.4708994708994708	0.8095238095238095	0.746031746031746	0.8095238095238092	0.8148148148148145	0.4126984126984127	0.6349206349206349
adept_demo_samples5_geometric	0.7708333333333333	0.8333333333333333	0.5	1.0	0.75	0.9166666666666666	0.6666666666666666	0.5	1.0
adept_demo_samples5_real-life	0.6770833333333333	0.49999999999999994	0.5	1.0	0.75	0.7499999999999999	0.9166666666666666	0.5	0.5
adept_demo_samples5_in-class	0.6382575757575751	0.553030303030303	0.4621212121212121	0.7727272727272727	0.75	0.8030303030303029	0.8333333333333333	0.38636363636363635	0.5454545454545454
adept_demo_samples5_out-class	0.6893939393939393	0.5454545454545454	0.4848484848484848	0.8181818181818182	0.7272727272727273	0.818181818181818	0.7575757575757575	0.45454545454545453	0.9090909090909091
adept_demo_samples5_on-human	0.6666666666666667	0.5416666666666666	0.41666666666666663	0.75	0.875	0.875	0.75	0.375	0.75
adept_demo_samples5_on-human_geometric	0.7291666666666666	0.6666666666666666	0.16666666666666666	1.0	1.0	1.0	0.5	0.5	1.0
adept_demo_samples5_on-human_real-life	0.6458333333333334	0.6666666666666666	0.5	1.0	0.5	0.6666666666666666	0.8333333333333333	0.5	0.5
adept_demo_samples5_on-human_in-class	0.625	0.6666666666666666	0.3333333333333333	0.5	1.0	1.0	1.0	0.0	0.5
adept_demo_samples5_on-human_out-class	0.6666666666666667	0.16666666666666666	0.6666666666666666	0.5	1.0	0.8333333333333333	0.6666666666666666	0.5	1.0
