name	all	create	vanish	short-overturn	long-overturn	visible-discontinuous	invisible-discontinuous	delay	block
adept_demo_samples9	0.642857142857142	0.5079365079365081	0.492063492063492	0.8095238095238095	0.7619047619047619	0.8042328042328037	0.8148148148148147	0.4444444444444444	0.5079365079365079
adept_demo_samples9_geometric	0.6979166666666667	0.6666666666666666	0.5833333333333333	1.0	1.0	0.8333333333333333	0.75	0.25	0.5
adept_demo_samples9_real-life	0.6249999999999999	0.25	0.6666666666666666	1.0	0.75	0.7499999999999999	0.8333333333333333	0.5	0.25
adept_demo_samples9_in-class	0.6420454545454538	0.49242424242424254	0.49242424242424243	0.7727272727272727	0.7272727272727273	0.8409090909090907	0.8333333333333333	0.5227272727272727	0.45454545454545453
adept_demo_samples9_out-class	0.6325757575757575	0.606060606060606	0.3939393939393939	0.8181818181818182	0.8181818181818182	0.6666666666666666	0.7575757575757575	0.18181818181818182	0.8181818181818182
adept_demo_samples9_on-human	0.6354166666666667	0.4583333333333333	0.49999999999999994	0.75	0.875	0.7916666666666667	0.7083333333333333	0.375	0.625
adept_demo_samples9_on-human_geometric	0.625	0.8333333333333333	0.16666666666666666	1.0	1.0	1.0	0.5	0.5	0.0
adept_demo_samples9_on-human_real-life	0.6875	0.16666666666666666	0.6666666666666666	1.0	1.0	0.8333333333333333	0.8333333333333333	0.5	0.5
adept_demo_samples9_on-human_in-class	0.625	0.3333333333333333	0.3333333333333333	0.5	1.0	0.6666666666666666	0.6666666666666666	0.5	1.0
adept_demo_samples9_on-human_out-class	0.6041666666666667	0.5	0.8333333333333333	0.5	0.5	0.6666666666666666	0.8333333333333333	0.0	1.0
