name	all	create	vanish	short-overturn	long-overturn	visible-discontinuous	invisible-discontinuous	delay	block
adept_demo_samples7	0.6474867724867716	0.5343915343915344	0.4497354497354497	0.8095238095238095	0.7619047619047619	0.7830687830687829	0.8095238095238093	0.49206349206349204	0.5396825396825397
adept_demo_samples7_geometric	0.7083333333333333	0.41666666666666663	0.6666666666666666	1.0	0.75	0.5833333333333333	0.75	0.75	0.75
adept_demo_samples7_real-life	0.7916666666666667	0.6666666666666666	0.49999999999999994	1.0	1.0	0.8333333333333333	0.8333333333333333	0.75	0.75
adept_demo_samples7_in-class	0.6344696969696965	0.5151515151515151	0.40151515151515155	0.7727272727272727	0.75	0.8030303030303029	0.8333333333333333	0.4318181818181818	0.5681818181818182
adept_demo_samples7_out-class	0.6249999999999999	0.606060606060606	0.5454545454545453	0.8181818181818182	0.7272727272727273	0.7575757575757575	0.7272727272727273	0.5454545454545454	0.2727272727272727
adept_demo_samples7_on-human	0.6510416666666666	0.4583333333333333	0.5833333333333333	0.75	0.75	0.875	0.7916666666666667	0.5	0.5
adept_demo_samples7_on-human_geometric	0.6875000000000001	0.6666666666666666	0.3333333333333333	1.0	1.0	0.8333333333333333	0.6666666666666666	0.5	0.5
adept_demo_samples7_on-human_real-life	0.8541666666666667	0.5	0.5	1.0	1.0	0.8333333333333333	1.0	1.0	1.0
adept_demo_samples7_on-human_in-class	0.5208333333333333	0.3333333333333333	0.5	0.5	0.5	1.0	0.8333333333333333	0.0	0.5
adept_demo_samples7_on-human_out-class	0.5416666666666667	0.3333333333333333	1.0	0.5	0.5	0.8333333333333333	0.6666666666666666	0.5	0.0
