name	all	create	vanish	short-overturn	long-overturn	visible-discontinuous	invisible-discontinuous	delay	block
adept_demo_samples3	0.6474867724867718	0.5978835978835978	0.48148148148148157	0.8095238095238095	0.6666666666666666	0.8253968253968252	0.8306878306878306	0.38095238095238093	0.5873015873015873
adept_demo_samples3_geometric	0.6666666666666667	0.6666666666666666	0.6666666666666666	1.0	0.5	0.8333333333333333	0.6666666666666666	0.5	0.5
adept_demo_samples3_real-life	0.8125	0.6666666666666666	0.49999999999999994	1.0	1.0	0.8333333333333333	1.0	0.5	1.0
adept_demo_samples3_in-class	0.6448863636363632	0.6136363636363638	0.4696969696969697	0.7727272727272727	0.6136363636363636	0.8484848484848485	0.840909090909091	0.36363636363636365	0.6363636363636364
adept_demo_samples3_out-class	0.5909090909090908	0.48484848484848475	0.4545454545454545	0.8181818181818182	0.8181818181818182	0.7272727272727273	0.7878787878787878	0.36363636363636365	0.2727272727272727
adept_demo_samples3_on-human	0.6197916666666666	0.5833333333333333	0.5416666666666666	0.75	0.5	0.875	0.8333333333333334	0.25	0.625
adept_demo_samples3_on-human_geometric	0.6041666666666666	0.8333333333333333	0.3333333333333333	1.0	0.5	1.0	0.6666666666666666	0.5	0.0
adept_demo_samples3_on-human_real-life	0.75	0.6666666666666666	0.5	1.0	1.0	0.8333333333333333	1.0	0.0	1.0
adept_demo_samples3_on-human_in-class	0.6458333333333333	0.6666666666666666	0.6666666666666666	0.5	0.0	1.0	0.8333333333333333	0.5	1.0
adept_demo_samples3_on-human_out-class	0.4791666666666667	0.16666666666666666	0.6666666666666666	0.5	0.5	0.6666666666666666	0.8333333333333333	0.0	0.5
