name	all	create	vanish	short-overturn	long-overturn	visible-discontinuous	invisible-discontinuous	delay	block
adept_demo_samples5	0.5864453420256992	0.5271688922482574	0.4944150499706056	0.6573444192491812	0.6036785084404132	0.783320735701688	0.7887797094146302	0.47215923406399596	0.5177626606198035
adept_demo_samples5_geometric	0.58056640625	0.6458333333333333	0.6041666666666666	0.6875	0.75	0.8541666666666666	0.7291666666666666	0.5	0.625
adept_demo_samples5_real-life	0.59814453125	0.47916666666666674	0.5416666666666666	0.6875	0.625	0.7916666666666667	0.8541666666666666	0.5	0.4375
adept_demo_samples5_in-class	0.5811273243801652	0.5235881542699724	0.47382920110192844	0.6399793388429752	0.5898760330578512	0.7778925619834711	0.7999311294765841	0.45402892561983477	0.5123966942148761
adept_demo_samples5_out-class	0.609245867768595	0.5399449035812672	0.512396694214876	0.7272727272727273	0.6776859504132231	0.7741046831955922	0.7355371900826446	0.5041322314049588	0.5619834710743802
adept_demo_samples5_on-human	0.613525390625	0.47395833333333337	0.5364583333333333	0.625	0.703125	0.8437500000000001	0.75	0.453125	0.5625
adept_demo_samples5_on-human_geometric	0.560546875	0.5833333333333334	0.3333333333333333	0.75	1.0	0.9166666666666667	0.41666666666666663	0.5	0.75
adept_demo_samples5_on-human_real-life	0.62109375	0.5833333333333334	0.5833333333333334	0.75	0.5	0.75	0.8333333333333333	0.5	0.5
adept_demo_samples5_on-human_in-class	0.578125	0.5833333333333334	0.3333333333333333	0.5	0.75	0.9166666666666667	0.9166666666666667	0.25	0.5
adept_demo_samples5_on-human_out-class	0.693359375	0.25	0.6666666666666666	0.5	0.75	0.8333333333333334	0.75	0.5	0.75
